"Temperature","Humidity","Wind_speed","Visibility","Dew_point_temperature","Solar_Radiation","Rainfall","Snowfall","Holiday","Functioning_Day","SeasonsAutumn","SeasonsSpring","SeasonsSummer","log_Rented_Bike_Count"
0.6,66,1.4,2000,-5,0,0,0,0,1,0,0,0,6.76041469108343
6,84,1.9,327,3.4,0,0,0,0,1,0,0,0,6.09582456243222
1.7,90,1,66,0.2,0,0.3,0.3,0,1,0,0,0,5.32300997913841
2,61,3,2000,-4.7,0,0,0,0,1,0,0,0,5.35185813347607
-7.7,36,1,2000,-20.2,0,0,0,0,1,0,0,0,6.27287700654617
0.1,43,0.9,1485,-11,0,0,0,0,1,0,0,0,6.52649485957079
-4.7,37,1.8,2000,-17.2,0.01,0,0,0,1,0,0,0,5.32300997913841
0,88,0.6,277,-1.7,0,0,2.7,0,1,0,0,0,5.64190707093811
-3.8,42,3.3,2000,-14.8,0,0,2,0,1,0,0,0,5.95324333428778
3.6,62,1.4,389,-3,0.01,0,0,0,1,0,0,0,6.35437004079735
3,84,1.7,137,0.5,0,0.3,0,0,1,0,0,0,3.8286413964891
-2.6,38,1.4,1604,-14.9,0,0,0,0,1,0,0,0,6.40357419793482
-1.8,44,2.2,1709,-12.4,0.01,0,0,0,1,0,0,0,6.45519856334012
1.8,34,1.2,1518,-12.4,0,0,0,0,1,0,0,0,5.6021188208797
1.5,70,2.5,638,-3.3,0,0,0,0,1,0,0,0,5.75890177387728
-3.8,58,1.7,1996,-10.8,0.01,0,0,0,1,0,0,0,6.3261494731551
-7.8,32,4.5,2000,-21.6,0.02,0,0,0,1,0,0,0,6.08221891037645
-10.4,43,2.3,1985,-20.6,0.02,0,0,0,1,0,0,0,5.8664680569333
-7.5,28,2,2000,-22.9,0.02,0,0,0,1,0,0,0,6.00635315960173
-2.6,73,1,684,-6.7,0.01,0,0,0,1,0,0,0,5.41164605185504
4.1,53,1.3,1132,-4.6,0,0,0,0,1,0,0,0,5.52545293913178
5.2,44,1.3,647,-6,0,0,0,0,1,0,0,0,6.32076829425058
4.9,59,1.4,427,-2.4,0,0,0,0,1,0,0,0,6.38519439899773
5.2,62,2.9,503,-1.5,0.01,0,0,0,1,0,0,0,6.21860011969173
2,39,2.1,1259,-10.5,0.01,0,0,0,1,0,0,0,6.22851100359118
4.6,55,3.2,232,-3.6,0.03,0,0,0,1,0,0,0,5.64897423816121
2.5,24,2,2000,-16,0.02,0,0,0,1,0,0,0,5.69035945432406
-11.5,43,2.4,2000,-21.6,0.05,0,0.9,0,1,0,0,0,5.8636311755981
-11.8,33,4,2000,-24.8,0.04,0,0.5,0,1,0,0,0,5.66642668811243
-12.7,33,2.5,1835,-25.6,0.05,0,0.3,0,1,0,0,0,5.72358510195238
-6.6,34,2.5,2000,-19.8,0.06,0,0,0,1,0,0,0,6.08449941307517
-1.8,35,2.1,2000,-15.2,0.05,0,1.6,0,1,0,0,0,6.00141487796115
-1,28,1.9,2000,-17.2,0.08,0,0,0,1,0,0,0,6.29710931993394
0.5,37,3,1733,-12.5,0.06,0,0,0,1,0,0,0,6.38519439899773
-7,26,4.1,2000,-23.3,0.16,0,0,0,1,0,0,0,5.04342511691925
-0.5,26,1.7,1999,-17.7,0.15,0,0,0,1,0,0,0,6.33682573114644
-4.4,46,3.5,2000,-14.3,0.23,0,0,0,1,0,0,0,6.16541785423142
3.1,50,3.7,2000,-6.3,0.07,0,0,0,1,0,0,0,6.40522845803084
5.1,34,2.3,1440,-9.5,0.09,0,0,0,1,0,0,0,6.3279367837292
1.1,18,2.5,2000,-20.6,0.2,0,0,1,1,0,0,0,5.25227342804663
-0.3,17,1.9,2000,-22.4,0.2,0,0,1,1,0,0,0,5.41164605185504
2.8,25,3,2000,-15.3,0.22,0,0,0,1,0,0,0,5.73979291217923
4.7,43,2.4,938,-6.8,0.19,0,0,0,1,0,0,0,6.7093043402583
1.8,16,3.4,2000,-21.4,0.31,0,0,0,1,0,0,0,6.66568371778241
7.5,70,5,374,2.3,0.08,0,0,0,1,0,0,0,6.50727771238501
3.5,30,2.9,1726,-12.4,0.31,0,0,0,1,0,0,0,5.94017125272043
3.6,90,2.1,845,2.1,0,9.5,0,0,1,0,0,0,2.484906649788
-0.8,40,4.7,1429,-12.7,0.43,0,0,1,1,0,1,0,5.76205138278018
13.9,26,1.9,1995,-5.3,0.41,0,0,0,1,0,1,0,6.82546003625531
8.1,47,1.7,2000,-2.5,0.34,0,0,0,1,0,1,0,7.05272104923232
8.7,28,3.2,2000,-8.8,0.49,0,0,0,1,0,1,0,7.12849594568004
5.9,68,3.4,543,0.4,0.38,0,0,0,1,0,1,0,6.99576615630485
7,55,2,705,-1.4,0.35,0,0,0,1,0,1,0,7.11639414409346
12.2,43,2.8,463,0,0.41,0,0,0,1,0,1,0,7.26262860097424
8.6,55,2.4,1958,0,0.09,0,0,0,1,0,1,0,7.09090982207998
4.1,43,3.5,2000,-7.3,0.21,0,0,0,1,0,1,0,7.01391547481053
7.9,46,3.1,1057,-3,0.58,0,0,0,1,0,1,0,7.31055015853442
9.7,36,3.6,948,-4.6,0.37,0,0,0,1,0,1,0,7.38523092306657
16,33,2.9,1138,-0.2,0.6,0,0,0,1,0,1,0,7.29844510150815
17.4,57,3.1,657,8.7,0.52,0,0,0,1,0,1,0,7.56837926783652
17.7,75,2.1,519,13.2,0.12,0,0,0,1,0,1,0,7.16780918431644
20.7,54,4.1,1484,11,0.5,0,0,0,1,0,1,0,7.78405700263993
18.9,68,3.3,1326,12.8,0.12,0,0,0,1,0,1,0,7.66622192566273
16,47,2.1,2000,4.6,0.79,0,0,0,1,0,1,0,7.78447323573647
5.9,43,5.3,859,-5.7,0.62,0,0,0,1,0,1,0,7.01660968389422
6.4,43,3.7,2000,-5.2,0.92,0,0,0,1,0,1,0,6.57228254269401
3,89,1.5,283,1.3,0.07,1.9,0,0,1,0,1,0,3.13549421592915
19.1,31,3,958,1.5,0.7,0,0,0,1,0,1,0,7.69575799055476
24.7,33,2.3,687,7.3,0.78,0,0,0,1,0,1,0,7.72709448477984
22.2,11,3,2000,-9.7,0.98,0,0,0,1,0,1,0,7.59438124255182
16.1,73,1.3,1298,11.2,0.11,0.5,0,0,1,0,1,0,4.15888308335967
9.4,96,1.9,600,8.7,0.07,1,0,0,1,0,1,0,3.68887945411394
21.2,32,3.8,1927,3.8,0.94,0,0,0,1,0,1,0,7.9402277651457
17.4,45,3.1,1092,5.3,0.75,0,0,0,1,0,1,0,7.85360481309784
20.3,47,2.5,705,8.6,0.77,0,0,0,1,0,1,0,7.85476918349913
18.9,30,2.6,1995,0.9,1.05,0,0,0,1,0,1,0,7.54062152865715
13.6,89,2.3,638,11.8,0.09,0,0,0,1,0,1,0,6.25190388316589
13.4,49,2.4,1982,2.8,0.6,0,0,0,1,0,1,0,7.74543561027438
17.1,35,3.4,1961,1.4,1.11,0,0,0,1,0,1,0,7.88683299895506
22.5,31,3.4,1953,4.5,0.79,0,0,0,1,0,1,0,7.56527528189893
25.1,32,2.4,1899,7.2,1.1,0,0,0,1,0,1,0,7.72709448477984
20.7,40,1.4,2000,6.6,1.06,0,0,0,1,0,1,0,7.66996199547358
20.6,41,2.3,2000,6.8,1.1,0,0,0,1,0,1,0,8.04910772132641
17.9,37,3.1,1819,2.9,0.36,0,0,0,1,0,1,0,7.90174751852014
19,66,1.3,1111,12.4,0.95,0,0,0,1,0,1,0,7.75747876658418
23.6,48,3.1,666,11.9,0.85,0,0,0,1,0,1,0,7.97487690055888
22.6,97,1.1,304,22,0.07,1.5,0,0,1,0,1,0,6.06842558824411
17.5,79,1.5,2000,13.8,0.57,0,0,0,1,0,1,0,7.72400465667607
24,34,1.7,2000,7.1,1.22,0,0,0,1,0,1,0,7.79975331828725
21.6,48,2.5,1884,10.1,0.61,0,0,0,1,0,1,0,8.02943284058124
27,33,2.2,822,9.3,1.07,0,0,0,1,0,1,0,7.61134771740362
26.4,42,3.1,1995,12.4,0.79,0,0,0,1,0,1,0,8.04558828080353
27.4,29,3.6,2000,7.7,1.19,0,0,0,1,0,0,1,7.71735127218533
27.1,40,2.8,1811,12.3,1,0,0,0,1,0,0,1,8.07961802938984
27.3,42,1.2,2000,13.2,0.19,0,0,0,1,0,0,1,7.56786260546388
24.1,53,1.3,2000,13.9,0.48,0,0,0,1,0,0,1,7.7698009960039
24,61,1.5,1935,16,0.26,0,0,0,1,0,0,1,7.99395754757357
25.9,44,1.5,2000,12.7,1.36,0,0,0,1,0,0,1,7.96970358327866
25,59,3.4,1324,16.4,0.54,0,0,0,1,0,0,1,7.81399567500279
24.1,57,2.9,1301,15,0.56,0,0,0,1,0,0,1,8.17667277194846
26.3,55,3.2,1119,16.5,0.64,0,0,0,1,0,0,1,7.72179177681754
30.7,43,1.6,931,16.6,0.74,0,0,0,1,0,0,1,8.08301991917133
24.1,95,4.4,261,23.2,0.03,1,0,0,1,0,0,1,5.05624580534831
25,69,1.5,1125,18.9,0.52,0,0,0,1,0,0,1,8.0624327915832
20.6,97,0.7,222,20.1,0.14,21.5,0,0,1,0,0,1,6.3919171133926
27.5,79,0.5,1237,23.5,0.65,0.5,0,0,1,0,0,1,5.7268477475872
22.2,96,1.2,673,21.5,0.09,3.5,0,0,1,0,0,1,2.89037175789616
32.2,57,1.8,1880,22.5,1.53,0,0,0,1,0,0,1,7.99496952269788
26.8,71,1.2,2000,21,0.21,0,0,0,1,0,0,1,7.86134179559999
25.9,52,2.1,2000,15.2,0.57,0,0,0,1,0,0,1,8.06996814905984
20.3,93,1.3,1832,19.1,0.22,0.5,0,0,1,0,0,1,4.94875989037817
30.8,60,2.5,1793,22.1,1.43,0,0,0,1,0,0,1,7.9672801789422
31.1,55,2.2,1897,20.9,1.05,0,0,0,1,0,0,1,7.39326309476384
32.2,55,2.4,1769,22,1.28,0,0,0,1,0,0,1,7.29097477814298
33.9,42,2,1969,19.1,1.25,0,0,0,1,0,0,1,7.79152281915073
36.3,35,3,1860,18.3,0.89,0,0,0,1,0,0,1,7.10085190894405
33.9,53,3.2,1886,22.9,0.94,0,0,0,1,0,0,1,7.78572089653462
34.9,53,2.2,1296,23.8,0.86,0,0,0,1,0,0,1,7.74109909003537
32.2,58,2.5,1553,22.8,0.44,0,0,0,1,0,0,1,7.79028238070348
33.7,62,3.2,1082,25.3,0.87,0,0,0,1,0,0,1,7.6889133368648
36.2,45,2,2000,22.3,0.65,0,0,0,1,0,0,1,7.646353722446
36.7,47,2.5,1803,23.5,0.99,0,0,0,1,0,0,1,7.54009032014532
33.2,52,3.7,1986,22,1.14,0,0,0,1,0,0,1,6.95177216439891
34.5,45,2,2000,20.8,1,0,0,0,1,0,0,1,7.75233516330229
28.1,86,2.3,1244,25.5,0.28,0.5,0,0,1,0,0,1,7.5234813125735
34.4,40,1.8,2000,18.8,0.65,0,0,0,1,0,0,1,7.15070145759253
33.7,53,2.4,2000,22.7,0.78,0,0,0,1,0,0,1,7.743269700829
32.8,63,2.3,1546,24.8,0.89,0.1,0,1,1,0,0,1,6.83087423464618
32.4,40,2.1,2000,17,1.04,0,0,0,1,0,0,1,7.81681996576455
23.8,95,2.7,1938,22.9,0.11,1.5,0,0,1,0,0,1,6.82110747225646
27.1,56,3,1987,17.5,0.87,0,0,0,1,0,0,1,7.64060382639363
23.4,67,0.6,2000,16.9,0.36,0,0,0,1,0,0,1,7.29979736675816
23.9,96,0.2,991,23.2,0,1.5,0,0,1,0,0,1,4.06044301054642
26.1,72,2.4,1066,20.6,0.19,0,0,0,1,0,0,1,7.54327334670545
28.4,57,2.4,2000,19,0.84,0,0,0,1,0,0,1,7.95050243480885
26.8,53,2.6,2000,16.4,0.8,0,0,0,1,1,0,0,8.06054004653864
27,45,2.4,2000,14,0.77,0,0,0,1,1,0,0,8.05864371221562
25.7,38,1.5,2000,10.3,0.64,0,0,0,1,1,0,0,7.72134861261795
26,35,0.3,2000,9.3,0.2,0,0,0,1,1,0,0,7.77022320415879
25.9,42,1.1,2000,11.9,0.48,0,0,0,1,1,0,0,8.10137467122858
24.7,45,0.7,2000,11.9,0.3,0,0,0,1,1,0,0,8.07806788181544
27,44,1.4,2000,13.6,0.62,0,0,0,1,1,0,0,8.08856180527623
26.7,56,1.8,2000,17.1,0.47,0,0,0,1,1,0,0,8.05420489706441
25.7,57,1.5,2000,16.5,0.24,0,0,0,1,1,0,0,7.94697135769359
24.2,76,1.2,2000,19.6,0.12,0,0,0,1,1,0,0,7.35691824235602
25.3,56,2.8,1992,15.8,0.54,0,0,0,1,1,0,0,8.09498875930377
24.8,48,1.4,2000,13,0.51,0,0,0,0,1,0,0,0
24,55,2.2,1691,14.3,0.12,0,0,0,0,1,0,0,0
20.3,35,2.4,2000,4.3,0.46,0,0,1,1,1,0,0,7.12125245324454
21.6,37,1,2000,6.2,0.24,0,0,1,1,1,0,0,7.5422134631934
20.4,56,1.7,2000,11.3,0.2,0,0,0,0,1,0,0,0
21.5,43,1.8,2000,8.3,0.26,0,0,1,1,1,0,0,7.71244383427499
23.1,48,1.3,2000,11.4,0.2,0,0,0,0,1,0,0,0
16.7,96,1.6,1461,16,0.03,1,0,0,1,1,0,0,4.31748811353631
17.9,29,2.8,2000,-0.4,0.16,0,0,0,1,1,0,0,7.63530388625941
18.1,39,1,2000,3.9,0.21,0,0,0,1,1,0,0,7.93307977188041
12.2,45,3.1,2000,0.5,0.16,0,0,0,1,1,0,0,7.83002808253384
12.1,40,2.4,1854,-1.1,0.18,0,0,0,1,1,0,0,7.77443551030296
16.2,58,2.4,1991,7.9,0.12,0,0,0,1,1,0,0,7.41637847919293
18,66,2.3,554,11.5,0.1,0,0,0,1,1,0,0,7.8770178956224
15.7,45,2.5,2000,3.7,0.06,0,0,0,1,1,0,0,7.82404601085629
16.6,40,2.4,2000,2.9,0.11,0,0,0,1,1,0,0,7.87549929244521
16.2,41,1.4,1907,2.9,0.06,0,0,0,1,1,0,0,7.38956395367764
17.3,43,0.9,783,4.5,0.08,0,0,0,1,1,0,0,7.86863689418417
15.1,53,1.7,2000,5.5,0.06,0,0,0,1,1,0,0,7.86825426552061
17.3,39,1.3,1641,3.1,0.03,0,0,0,1,1,0,0,7.87587915949631
8.9,85,1.8,2000,6.5,0.01,0,0,0,1,1,0,0,6.48004456192665
9.4,48,2,2000,-1,0.03,0,0,0,1,1,0,0,7.64730883235624
14,71,1.5,201,8.8,0.01,0,0,0,0,1,0,0,0
14.4,77,1,912,10.4,0,0,0,0,1,1,0,0,7.20637729147225
12.3,69,2.1,623,6.7,0.01,0,0,0,0,1,0,0,0
8.9,55,2,1333,0.3,0,0,0,0,1,1,0,0,6.62406522779989
11.3,42,1.2,1846,-1.1,0.01,0,0,0,1,1,0,0,7.67786350067821
12.2,47,2.6,1427,1.2,0.01,0,0,0,1,1,0,0,7.69666708152646
9.9,74,2.6,492,5.4,0,0,0,0,1,1,0,0,7.57916796739608
7.5,48,2.4,1079,-2.8,0,0,0,0,1,1,0,0,7.5522372875608
3.9,23,1,2000,-15.4,0,0,0,0,1,1,0,0,7.34536484041687
2.6,86,1.1,834,0.4,0,0,3.5,0,1,1,0,0,6.05678401322862
9.5,56,0.5,628,1.1,0,0,0,0,1,1,0,0,7.44366368311559
10.2,74,1.2,289,5.7,0,0,0,0,1,1,0,0,7.33888813383888
0,46,0.9,1566,-4.8,0,0,0,0,1,1,0,0,7.36391350140582
4.7,34,1.9,1661,-9.8,0,0,0,0,1,1,0,0,7.23345541862144
